channel,region,customer_segment,campaign_type,ad_spend,impressions,clicks,click_through_rate,average_order_value,discount_percent,prior_purchases,website_visits_30d,email_open_rate,days_since_last_purchase,conversion
Instagram,South,Returning,Conversion,867.53,6887,1657,0.2406,85.68,20,1,2,0.299,1,1
Instagram,West,New,Conversion,498.53,19972,2596,0.13,54.64,5,0,8,0.0567,29,1
Referral,Central,Dormant,Awareness,198.05,15940,3580,0.2246,76.4,0,1,3,0.3038,60,1
Email,Central,Dormant,Conversion,310.67,2088,346,0.1655,22.16,15,1,7,0.1271,148,0
Instagram,North,New,Seasonal,362.8,5188,334,0.0643,48.59,25,1,4,0.0962,49,0
Email,North,New,Awareness,338.2,11404,1389,0.1218,58.55,15,4,8,0.0996,8,1
Organic,North,New,Conversion,522.02,9874,912,0.0924,96.47,5,1,1,0.1049,1,0
Referral,East,Returning,Retargeting,450.3,6040,865,0.1432,18.8,20,2,2,0.3239,6,1
Referral,North,New,Conversion,192.73,20751,2181,0.1051,56.08,15,3,8,0.4285,68,0
Organic,South,Dormant,Conversion,241.49,13406,1583,0.1181,87.13,15,0,7,0.4048,38,0
Google Ads,Central,High Value,Seasonal,497.59,14137,2072,0.1465,42.3,25,1,2,0.1707,32,0
Google Ads,Central,High Value,Conversion,594.34,8886,616,0.0693,53.74,20,1,6,0.1825,81,1
Email,Central,Returning,Awareness,364.87,15250,1444,0.0947,64.63,15,1,13,0.1101,33,1
Email,South,Dormant,Awareness,627.49,10288,1152,0.112,61.69,15,3,4,0.3198,4,0
Referral,West,New,Seasonal,346.12,10725,2019,0.1883,89.32,15,0,1,0.2445,30,0
Google Ads,West,Returning,Conversion,209.74,14750,3319,0.225,66.97,15,0,5,0.4659,106,1
Google Ads,North,New,Conversion,432.02,4670,232,0.0498,84.56,10,2,5,0.2842,5,0
Organic,East,Dormant,Awareness,1042.11,19187,1190,0.062,50.8,20,3,2,0.128,350,0
Google Ads,East,Returning,Conversion,171.03,12821,688,0.0537,43.19,15,1,5,0.5543,84,1
Google Ads,South,High Value,Seasonal,616.79,17764,3391,0.1909,53.49,10,0,10,0.4407,8,1
Google Ads,West,New,Conversion,421.07,7161,788,0.11,34.82,0,3,5,0.408,7,0
Instagram,West,Dormant,Seasonal,234.55,7846,440,0.0561,67.67,20,1,4,0.4849,76,0
Email,East,Returning,Conversion,115.73,6771,752,0.1111,50.28,15,2,4,0.1075,181,1
Google Ads,West,Returning,Conversion,91.35,13126,271,0.0206,44.56,10,2,4,0.3678,1,0
Instagram,West,Dormant,Seasonal,251.98,12297,370,0.0301,67.97,10,2,7,0.4873,41,0
Google Ads,East,Returning,Conversion,390.35,9910,307,0.0309,35.13,5,2,4,0.2289,29,0
Organic,South,Returning,Conversion,481.32,7437,1253,0.1685,73.41,30,3,7,0.3652,16,1
Instagram,West,Returning,Seasonal,531.33,6300,1122,0.178,48.43,25,1,3,0.1666,11,0
Email,West,New,Conversion,374.74,11782,771,0.0654,81.18,15,0,6,0.3979,6,1
Instagram,Central,New,Conversion,348.56,9905,720,0.0727,50.15,10,3,0,0.4804,19,0
Instagram,North,New,Seasonal,278.93,8915,412,0.0463,70.64,20,2,6,0.2142,84,0
Referral,East,New,Awareness,394.66,18962,641,0.0338,61.59,15,3,3,0.1347,4,1
Google Ads,Central,Dormant,Conversion,236.3,11630,616,0.0529,72.88,30,0,5,0.1047,112,0
Organic,East,Returning,Awareness,175.69,17715,2078,0.1173,60.2,0,1,4,0.3419,47,0
Referral,Central,Returning,Conversion,338.7,9600,1123,0.117,24.73,0,0,7,0.131,3,0
Google Ads,North,Returning,Awareness,464.82,13101,229,0.0175,78.18,15,0,6,0.2959,60,0
Organic,North,Returning,Retargeting,156.8,11750,681,0.0579,56.25,5,0,3,0.1468,18,0
Email,West,Returning,Awareness,251.99,4361,378,0.0867,73.79,15,2,5,0.342,21,0
Email,South,Dormant,Retargeting,332.93,18428,2291,0.1243,71.8,20,2,6,0.2661,42,0
Email,East,Dormant,Conversion,329.71,11392,590,0.0518,42.53,0,0,7,0.256,38,0
Referral,East,Returning,Conversion,416.01,15359,2187,0.1424,39.7,10,3,6,0.0508,156,0
Google Ads,East,New,Conversion,703.4,8616,605,0.0702,71.11,15,3,5,0.2221,63,0
Email,Central,Returning,Retargeting,91.85,11258,1544,0.1371,51.94,20,3,5,0.3447,30,0
Google Ads,North,Returning,Conversion,717.78,8099,1134,0.14,76.73,10,1,11,0.2039,23,1
Email,West,Returning,Conversion,689.13,17562,1432,0.0815,54.44,5,1,7,0.2273,16,1
Referral,Central,High Value,Seasonal,484.92,13401,3995,0.2981,78.47,15,2,4,0.1006,1,0
Google Ads,West,Returning,Conversion,361.77,13652,1146,0.0839,66.47,10,2,10,0.3274,79,0
Instagram,South,New,Awareness,238.58,18112,3103,0.1713,63.76,20,4,6,0.2404,17,0
Instagram,North,New,Seasonal,482.25,17204,2794,0.1624,50.52,15,0,1,0.0775,51,1
Google Ads,West,Returning,Conversion,370.34,15444,609,0.0394,62.65,5,1,6,0.2385,30,0
Instagram,East,New,Awareness,281.77,5602,356,0.0636,81.86,20,0,4,0.2924,62,0
Email,North,New,Conversion,476.61,8869,1520,0.1714,56.92,15,2,3,0.2241,21,1
Email,South,High Value,Awareness,513.86,7483,527,0.0705,68.62,0,1,6,0.2122,90,0
SMS,Central,Returning,Awareness,62.84,15274,2053,0.1344,58.93,15,0,6,0.2916,27,0
Organic,South,New,Retargeting,592.25,12768,688,0.0539,60.49,30,0,6,0.1742,3,0
Referral,North,Returning,Awareness,225.79,5743,762,0.1327,92.47,20,0,2,0.2826,16,0
Instagram,West,High Value,Retargeting,557.76,11151,630,0.0565,82.03,5,3,5,0.4777,32,1
SMS,North,New,Seasonal,284.28,5276,764,0.1448,59.59,20,1,3,0.3111,92,0
Organic,Central,High Value,Retargeting,362.24,11761,1541,0.1311,62.29,5,2,4,0.1764,26,0
Referral,Central,Dormant,Retargeting,394.81,4551,634,0.1394,43.96,15,2,10,0.2349,2,1
Google Ads,Central,Returning,Retargeting,537.3,14380,3132,0.2178,54.54,15,2,5,0.2281,29,0
Instagram,Central,High Value,Seasonal,454.63,13701,1793,0.1309,64.19,5,0,5,0.2918,35,0
Email,South,New,Conversion,279.52,20586,1658,0.0806,75.01,10,3,5,0.0998,29,0
Organic,South,Dormant,Awareness,98.96,15815,703,0.0444,72.98,30,2,1,0.1416,239,0
Google Ads,South,Returning,Conversion,413.76,10097,1499,0.1484,35.81,5,4,5,0.2255,22,0
Instagram,East,Dormant,Conversion,355.35,15681,3181,0.2028,77.54,20,2,7,0.5191,64,1
Instagram,Central,Returning,Awareness,169.89,5711,1246,0.2182,56.22,15,0,6,0.1989,55,0
Google Ads,West,New,Retargeting,374.9,7669,1272,0.1659,38.26,15,3,5,0.5216,17,0
Email,West,New,Awareness,330.97,13499,621,0.046,84.73,0,1,6,0.237,3,0
Organic,Central,High Value,Seasonal,589.62,2288,539,0.2357,87.27,5,0,6,0.0938,51,0
Organic,West,Returning,Conversion,740.2,11833,783,0.0662,63.27,0,1,2,0.2875,59,0
Referral,South,New,Awareness,508.09,7409,608,0.0821,72.18,15,2,4,0.3202,47,0
Google Ads,East,High Value,Awareness,322.04,12456,1645,0.1321,73.35,30,0,3,0.2968,36,1
Google Ads,East,Dormant,Awareness,345.01,7150,584,0.0816,85.92,25,1,1,0.1969,83,0
Google Ads,North,Returning,Conversion,221.85,13909,1980,0.1424,72.56,0,0,6,0.1875,22,1
Referral,West,Returning,Awareness,242.82,12087,948,0.0784,31.45,5,1,6,0.2552,12,0
Email,West,New,Conversion,313.28,18302,3415,0.1866,98.2,0,2,1,0.056,27,0
Google Ads,West,High Value,Awareness,297.97,12030,1851,0.1538,79.31,30,2,3,0.1412,102,0
Email,East,New,Conversion,164.82,8541,502,0.0587,47.81,5,0,5,0.4442,42,0
Google Ads,West,Dormant,Conversion,592.4,10889,1710,0.1571,37.41,5,1,8,0.2404,9,0
Instagram,Central,Returning,Conversion,629.98,5951,599,0.1006,68.1,15,1,5,0.2906,9,0
Email,East,Returning,Conversion,583.76,13828,3023,0.2186,52.43,15,1,3,0.2104,36,0
Email,East,New,Awareness,639.73,14654,1266,0.0864,64.6,5,3,6,0.0545,24,1
Google Ads,North,New,Awareness,837.81,23111,3026,0.1309,72.87,15,2,3,0.1656,6,0
Email,West,High Value,Awareness,223.93,9202,1062,0.1154,46.67,0,1,4,0.4445,49,0
SMS,Central,Returning,Retargeting,821.14,10795,412,0.0382,35.68,0,1,6,0.0724,85,0
Google Ads,West,Returning,Seasonal,278.7,9409,980,0.1041,65.72,0,0,4,0.6061,13,0
Instagram,Central,Dormant,Seasonal,442.08,12955,1322,0.1021,47.33,10,1,5,0.3997,35,0
Google Ads,Central,Dormant,Conversion,144.06,13718,1215,0.0886,60.92,30,2,5,0.297,2,0
Email,West,Dormant,Conversion,261.6,11760,757,0.0643,31.13,15,2,5,0.3403,13,0
SMS,East,New,Conversion,514.67,16888,2264,0.134,52.96,20,0,3,0.2288,248,0
Google Ads,North,Returning,Retargeting,451.76,9224,586,0.0635,72.3,10,2,6,0.4679,62,1
Organic,North,Dormant,Retargeting,276.11,16438,1828,0.1112,70.12,20,1,6,0.3749,5,0
Email,South,Returning,Retargeting,344.94,14423,1791,0.1242,42.23,30,1,6,0.0595,69,0
Google Ads,East,New,Seasonal,248.25,11946,1096,0.0917,34.63,10,2,6,0.1926,50,0
Google Ads,West,High Value,Conversion,514.03,10583,2037,0.1925,58.32,30,1,8,0.2286,32,1
SMS,East,Returning,Retargeting,610.33,22920,5789,0.2526,69.22,15,0,4,0.2195,29,0
Google Ads,North,Returning,Retargeting,224.43,8323,1122,0.1348,66.1,20,3,7,0.4302,23,1
Google Ads,South,Dormant,Conversion,328.67,13341,868,0.065,47.76,5,0,4,0.1427,4,0
Instagram,Central,Returning,Seasonal,161.31,8624,1459,0.1691,63.96,15,1,5,0.1321,78,0
Instagram,Central,Returning,Awareness,369.71,20035,3298,0.1646,88.05,15,0,6,0.4762,44,0
Google Ads,South,Returning,Seasonal,421.0,15991,2344,0.1466,62.1,30,2,7,0.1329,14,0
Google Ads,Central,Returning,Retargeting,383.7,8947,233,0.026,25.34,25,2,4,0.2139,1,0
Email,West,New,Awareness,405.95,14307,2389,0.167,62.06,10,1,6,0.1163,2,0
Organic,Central,High Value,Retargeting,312.38,13160,1231,0.0935,98.88,30,0,7,0.3286,3,1
Organic,Central,High Value,Awareness,315.9,9675,153,0.0158,32.25,25,2,4,0.2945,24,0
Email,West,New,Retargeting,309.0,15412,126,0.0082,58.59,15,2,1,0.1622,62,1
Google Ads,South,New,Retargeting,257.74,13752,942,0.0685,53.47,0,3,5,0.1974,15,0
Email,West,Dormant,Retargeting,273.38,12971,204,0.0157,59.92,0,2,5,0.2094,56,1
Referral,South,New,Seasonal,412.28,11811,1446,0.1224,61.89,0,0,5,0.2122,1,0
Instagram,South,Returning,Awareness,592.68,13940,297,0.0213,80.8,0,0,9,0.3603,18,0
Referral,West,Returning,Conversion,204.78,13032,1264,0.097,59.7,30,3,7,0.1187,126,1
Referral,East,High Value,Conversion,315.34,12266,732,0.0597,83.55,5,0,5,0.2992,31,1
Organic,East,New,Awareness,183.0,9115,663,0.0727,55.65,20,0,5,0.0311,25,0
Email,South,High Value,Conversion,260.04,19622,1313,0.0669,51.0,15,3,2,0.3453,96,0
Organic,East,Returning,Conversion,281.2,7273,502,0.069,44.62,15,2,3,0.2323,12,0
Instagram,North,Returning,Conversion,357.73,13924,2620,0.1882,21.66,5,0,2,0.0755,3,0
Email,West,New,Conversion,353.13,10559,3208,0.3038,63.52,15,5,0,0.2046,45,1
Google Ads,East,Returning,Seasonal,327.29,19918,4106,0.2061,99.08,15,2,7,0.1936,58,0
Instagram,Central,Returning,Conversion,397.0,7934,294,0.0371,67.16,15,2,7,0.2684,36,0
Organic,East,New,Seasonal,214.79,8691,1342,0.1544,71.73,5,2,4,0.0318,14,0
Organic,East,New,Conversion,359.1,7636,1496,0.1959,49.74,20,2,2,0.4529,39,1
Instagram,North,New,Conversion,457.62,13456,366,0.0272,53.11,0,1,6,0.155,42,1
SMS,North,New,Conversion,213.44,5821,346,0.0594,77.69,15,4,5,0.0818,25,0
Instagram,South,New,Conversion,129.06,9847,1522,0.1546,98.17,10,0,2,0.185,4,0
Google Ads,South,Dormant,Conversion,512.16,2314,119,0.0515,87.76,5,1,9,0.192,93,0
Instagram,South,Returning,Conversion,186.05,13082,2931,0.2241,74.1,20,2,6,0.1442,119,0
SMS,South,High Value,Awareness,253.87,9749,1389,0.1425,58.7,0,3,4,0.1426,108,1
Email,West,Dormant,Conversion,451.7,5304,721,0.1359,62.19,25,1,3,0.0554,39,0
Email,North,New,Conversion,208.0,16885,2709,0.1604,42.93,25,3,6,0.3098,10,0
Google Ads,South,High Value,Conversion,496.28,6115,1099,0.1797,29.04,10,2,3,0.0714,34,1
SMS,North,Dormant,Retargeting,236.07,15586,586,0.0376,35.46,5,2,1,0.1807,12,1
Organic,South,Returning,Conversion,221.86,8845,617,0.0697,59.0,0,2,6,0.4061,50,0
Organic,West,Returning,Seasonal,183.47,19207,2038,0.1061,52.16,25,3,8,0.134,13,1
Organic,North,Returning,Retargeting,237.11,15373,1083,0.0704,28.61,15,1,6,0.2846,66,0
Organic,South,New,Seasonal,424.49,7464,1107,0.1484,57.25,0,2,4,0.1743,14,0
Google Ads,North,Returning,Retargeting,253.89,7873,1178,0.1496,51.63,15,2,3,0.3173,11,0
Instagram,Central,Dormant,Awareness,513.1,14725,625,0.0424,34.54,0,0,6,0.3234,24,0
Organic,West,Dormant,Conversion,333.47,10819,1554,0.1436,50.6,15,2,6,0.3284,36,0
Referral,South,New,Awareness,347.0,11238,528,0.047,51.58,10,1,1,0.4278,102,0
Instagram,North,High Value,Retargeting,218.51,17725,1159,0.0654,45.67,0,3,4,0.1337,13,1
Email,North,New,Conversion,547.1,8631,1057,0.1224,76.53,20,1,4,0.2014,99,0
Organic,East,Dormant,Conversion,459.29,12411,1761,0.1419,19.94,5,2,3,0.3016,51,0
Instagram,West,New,Seasonal,453.49,16296,826,0.0507,18.28,15,2,6,0.0804,43,1
SMS,East,Dormant,Awareness,304.04,15641,2845,0.1819,58.07,15,1,3,0.1972,71,0
Instagram,Central,High Value,Conversion,171.88,11282,1587,0.1407,59.92,30,5,2,0.1394,13,1
Email,South,New,Retargeting,355.53,10700,1461,0.1365,66.08,10,0,4,0.5804,19,0
Organic,South,New,Awareness,416.4,4175,359,0.0861,47.22,25,4,3,0.5854,1,1
Email,East,High Value,Conversion,418.27,7247,896,0.1237,39.64,10,0,2,0.1041,59,1
Email,South,New,Retargeting,393.17,13433,806,0.06,57.85,25,1,6,0.3649,5,0
Google Ads,Central,Returning,Awareness,385.82,11380,968,0.0851,49.17,5,1,7,0.1869,85,0
Organic,North,Dormant,Conversion,235.5,12337,2481,0.2011,89.02,20,1,7,0.4403,38,1
Instagram,East,Returning,Conversion,241.15,16677,2174,0.1304,51.52,0,3,6,0.2792,64,0
Instagram,East,Returning,Retargeting,184.38,6657,885,0.1329,56.94,30,3,5,0.2576,25,0
Organic,North,Returning,Awareness,515.77,10937,3828,0.35,107.51,30,0,2,0.2183,46,0
SMS,East,New,Seasonal,724.86,12849,1010,0.0786,54.1,10,0,6,0.1398,1,1
Google Ads,East,Dormant,Seasonal,1033.04,8831,1226,0.1389,69.12,15,2,3,0.2707,2,1
Email,South,New,Awareness,366.8,18442,576,0.0313,70.93,15,2,3,0.4291,47,0
Email,North,New,Conversion,386.27,16089,2703,0.168,72.63,5,1,4,0.2014,41,1
Instagram,North,New,Conversion,309.74,13306,1483,0.1115,63.79,15,3,3,0.3269,31,0
Email,North,Dormant,Retargeting,364.18,20074,2553,0.1272,61.88,20,5,8,0.4716,101,0
Referral,East,New,Conversion,207.59,5255,100,0.019,60.01,15,2,7,0.5066,7,0
Email,North,Dormant,Awareness,306.82,11965,800,0.0668,46.48,0,0,11,0.2482,51,0
Google Ads,Central,High Value,Awareness,222.76,13649,698,0.0512,64.51,25,3,1,0.1088,27,0
Referral,South,High Value,Seasonal,288.42,7885,2271,0.288,98.57,0,1,9,0.4963,59,1
Google Ads,West,Dormant,Conversion,232.05,13353,1259,0.0943,82.21,15,2,4,0.2888,33,1
Instagram,West,High Value,Seasonal,416.5,7020,445,0.0634,64.08,0,1,3,0.198,55,1
Organic,East,Dormant,Conversion,440.04,15108,1237,0.0819,75.12,0,3,4,0.1792,24,0
Referral,Central,New,Seasonal,380.9,16760,957,0.0571,40.62,0,1,1,0.0576,33,0
Referral,North,High Value,Awareness,241.64,13226,89,0.0067,52.79,10,0,6,0.3478,51,0
Email,South,Returning,Awareness,177.9,3662,633,0.173,76.96,15,0,5,0.1536,12,1
Email,South,Returning,Seasonal,442.25,7649,1052,0.1376,87.74,15,0,4,0.1899,30,0
SMS,North,Dormant,Seasonal,332.65,14541,1536,0.1057,42.58,15,0,2,0.2407,81,1
Instagram,South,Dormant,Conversion,126.16,12095,1116,0.0923,48.33,15,1,3,0.526,35,0
Instagram,South,High Value,Conversion,354.19,800,36,0.0454,101.63,0,3,10,0.3396,3,0
Google Ads,West,Returning,Conversion,387.57,17593,330,0.0187,59.93,0,1,2,0.3488,14,1
Referral,South,Returning,Conversion,148.47,12615,496,0.0393,94.47,15,1,3,0.3451,106,1
SMS,Central,Returning,Awareness,419.75,8314,1477,0.1777,62.14,15,4,5,0.2496,15,0
Instagram,West,Returning,Seasonal,160.4,16477,1928,0.117,62.92,15,5,5,0.1122,37,1
SMS,Central,Returning,Conversion,229.05,8951,758,0.0847,51.89,5,0,6,0.1645,53,1
Email,North,New,Retargeting,160.96,8902,791,0.0888,76.85,20,0,9,0.4163,50,0
Google Ads,Central,New,Awareness,217.48,13613,1128,0.0829,85.16,0,1,3,0.2554,58,0
Google Ads,West,High Value,Awareness,178.69,20015,663,0.0331,37.3,15,3,4,0.1695,44,0
Email,Central,Returning,Retargeting,514.31,19306,504,0.0261,50.95,0,2,3,0.549,27,0
Email,South,Dormant,Conversion,296.43,13619,1839,0.135,76.3,15,1,4,0.348,1,0
Google Ads,Central,Returning,Retargeting,267.41,14081,1030,0.0732,55.41,10,3,5,0.3219,33,0
SMS,East,New,Awareness,536.08,15562,1221,0.0785,48.13,20,2,7,0.2688,25,0
Google Ads,North,New,Seasonal,523.77,6344,434,0.0683,78.19,0,1,8,0.1862,22,0
SMS,East,New,Retargeting,277.52,14899,945,0.0635,80.07,15,1,4,0.2689,46,1
Organic,North,Dormant,Seasonal,377.56,8697,630,0.0724,49.01,0,2,5,0.2203,11,0
Google Ads,Central,New,Awareness,250.57,13433,2407,0.1792,62.25,15,1,3,0.2248,8,1
Organic,South,Returning,Conversion,317.45,10976,371,0.0338,33.83,0,1,5,0.061,27,1
Email,South,Dormant,Conversion,194.87,14255,947,0.0664,40.09,0,0,4,0.3924,16,0
Email,East,Dormant,Conversion,402.38,12531,3805,0.3036,60.48,20,6,4,0.2984,35,0
Organic,East,New,Conversion,545.56,800,121,0.151,58.63,0,0,3,0.2898,33,0
Organic,North,New,Awareness,502.79,12805,1361,0.1063,38.66,5,2,3,0.321,35,0
Instagram,Central,New,Conversion,339.75,14890,1758,0.1181,43.68,20,1,7,0.5338,27,1
Google Ads,Central,New,Conversion,119.63,14007,1458,0.1041,36.7,20,2,4,0.2144,8,1
Google Ads,West,New,Conversion,245.08,11538,2079,0.1802,67.1,25,2,6,0.1223,66,0
Organic,West,Returning,Awareness,317.27,19390,1154,0.0595,18.65,10,3,4,0.4096,2,1
Google Ads,East,Dormant,Conversion,167.07,13401,812,0.0606,37.77,15,2,5,0.2477,85,0
Google Ads,East,Returning,Retargeting,152.55,13970,1070,0.0766,20.74,20,1,5,0.2551,73,1
Instagram,East,Returning,Conversion,612.31,16700,2777,0.1663,66.38,0,1,6,0.0718,66,0
Google Ads,North,New,Conversion,476.63,13632,608,0.0446,21.95,20,3,6,0.3476,58,0
Referral,North,High Value,Conversion,416.35,7959,1386,0.1741,58.63,0,2,3,0.1998,94,1
Organic,South,Returning,Retargeting,452.07,1027,121,0.1176,90.79,25,1,4,0.4036,104,0
Google Ads,East,Dormant,Conversion,181.64,9853,708,0.0719,91.47,15,2,6,0.2264,23,0
Instagram,North,Dormant,Conversion,213.95,15424,2839,0.1841,21.88,10,1,3,0.2936,162,0
Instagram,North,New,Seasonal,367.29,10411,641,0.0616,63.97,10,2,5,0.1119,26,1
Organic,Central,New,Conversion,380.32,15605,3361,0.2154,38.22,5,1,4,0.1536,9,0
Organic,South,New,Seasonal,162.11,12669,1364,0.1077,34.14,10,1,5,0.4431,113,0
Email,East,Returning,Retargeting,355.58,17796,1396,0.0785,55.73,20,2,6,0.2551,10,1
Email,East,Dormant,Awareness,319.95,10672,3423,0.3208,82.57,15,2,5,0.3618,4,0
Google Ads,West,Returning,Conversion,495.62,14104,559,0.0396,69.99,15,1,7,0.0723,122,0
Email,West,High Value,Retargeting,381.16,14276,1028,0.072,43.7,5,2,7,0.2364,2,1
Organic,South,Returning,Seasonal,643.74,18757,2712,0.1446,72.1,20,1,5,0.2462,69,0
Instagram,Central,New,Conversion,278.25,4320,903,0.209,13.13,10,0,4,0.1395,211,1
Email,South,New,Awareness,187.78,9937,2648,0.2665,42.94,5,0,4,0.175,53,1
SMS,Central,High Value,Conversion,636.07,15818,2403,0.1519,41.52,30,4,8,0.1165,57,1
Email,East,High Value,Awareness,390.14,18957,3077,0.1623,59.57,10,1,2,0.2388,41,0
Instagram,North,Returning,Retargeting,320.82,13080,3126,0.239,53.94,15,3,6,0.2395,22,0
Email,West,New,Conversion,217.87,10683,300,0.0281,55.17,30,1,7,0.2123,12,1
Email,North,High Value,Retargeting,279.77,15407,886,0.0575,54.51,10,0,2,0.2656,194,0
Email,West,New,Seasonal,272.88,15909,630,0.0396,58.45,30,2,3,0.1462,91,0
Email,North,Dormant,Retargeting,183.65,10382,1105,0.1064,68.8,20,1,5,0.3268,39,1
Email,South,New,Retargeting,100.21,13486,2275,0.1687,60.99,15,2,5,0.1935,5,0
Email,West,New,Retargeting,269.87,17312,843,0.0487,52.31,5,1,5,0.1629,2,0
Google Ads,Central,Returning,Retargeting,457.22,20507,3076,0.15,66.03,0,0,6,0.2896,15,1
Referral,East,Returning,Seasonal,566.3,15342,1855,0.1209,74.52,10,0,8,0.2581,11,0
Instagram,North,Returning,Awareness,504.25,12199,1176,0.0964,46.88,0,2,4,0.4039,176,1
Instagram,South,Returning,Conversion,517.32,11757,1274,0.1084,56.81,0,2,2,0.2397,61,0
Google Ads,Central,Dormant,Awareness,194.52,14508,1426,0.0983,81.24,15,0,4,0.2059,5,0
Organic,West,Returning,Seasonal,370.43,11479,1024,0.0892,35.94,20,1,2,0.0906,110,0
Organic,North,Returning,Retargeting,417.8,12853,423,0.0329,94.09,0,2,3,0.1847,46,0
Email,South,Returning,Conversion,429.74,7240,352,0.0487,31.22,20,2,3,0.4205,23,1
Instagram,South,New,Awareness,317.54,17837,604,0.0339,51.09,30,0,3,0.2544,12,1
Instagram,North,Returning,Conversion,350.12,6869,440,0.0641,39.0,20,1,3,0.2652,81,0
